file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
0060c484129df8a47546c71de468e96d,หลุมข้าว น.19.pdf,2026-05-06T13:38:48.028921,2,normal,district,อำเภอโนนสูง,ตำบลหลุมข้าว,16.0,19.0,330.0,188.0,188.0,169.0,15.0,4.0,True,False,OK,Candidate sum mismatch: sum=239 ≠ valid_votes=169,"candidate_sum_fail (sum=239, valid_votes=169)",1,,B,M0,0.5696969696969697,0.0797872340425532,0.02127659574468085
0060c484129df8a47546c71de468e96d,หลุมข้าว น.19.pdf,2026-05-06T13:38:48.029043,4,normal,partylist,อำเภอโนนสูง,ตำบลหลุมข้าว,16.0,19.0,330.0,188.0,188.0,172.0,13.0,3.0,True,False,OK,Candidate sum mismatch: sum=167 ≠ valid_votes=172,"candidate_sum_fail (sum=167, valid_votes=172)",1,,B,M0,0.5696969696969697,0.06914893617021277,0.015957446808510637
01ad8a407a5e0b7c3151323002d46bc6,น.8 ต.ท่าหลวง ส.ส.5_18.pdf,2026-05-06T10:44:55.079333,2,normal,district,อำเภอพิมาย,ตำบลท่าหลวง,9.0,8.0,277.0,177.0,177.0,169.0,8.0,0.0,True,True,OK,OK,,0,,A,M0,0.6389891696750902,0.04519774011299435,0.0
01d5f3c349061edd8c1206899b46fcc4,น.4 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,2026-05-06T10:26:00.915475,1,normal,district,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,4.0,4.0,527.0,327.0,327.0,302.0,12.0,13.0,True,False,OK,Candidate sum mismatch: sum=175 ≠ valid_votes=302,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=175, valid_votes=302)",2,,B,M0,0.6204933586337761,0.03669724770642202,0.039755351681957186
03ef453bd1368da9b53fde198f42d0c7,ทต.โนนสูง หน่วยที่ 1 .pdf,2026-05-06T15:06:48.462614,2,normal,district,อำเภอโนนสูง,ตำบลโนนสูง,,1.0,420.0,301.0,301.0,280.0,3.0,18.0,True,True,OK,OK,null_header_field:moo,1,,A,M0,0.7166666666666667,0.009966777408637873,0.059800664451827246
03ef453bd1368da9b53fde198f42d0c7,ทต.โนนสูง หน่วยที่ 1 .pdf,2026-05-06T15:06:48.462692,4,normal,partylist,อำเภอโนนสูง,ตำบลโนนสูง,,1.0,420.0,301.0,301.0,275.0,11.0,15.0,True,False,OK,Candidate sum mismatch: sum=277 ≠ valid_votes=275,"null_header_field:moo | candidate_sum_fail (sum=277, valid_votes=275)",2,,B,M0,0.7166666666666667,0.036544850498338874,0.04983388704318937
0462ff708fc1f7d70cc4c1ccde70eead,ช.2.pdf,2026-05-09T12:49:17.468582,2,advance_out_of_district,district,,,,,,,639.0,547.0,29.0,63.0,True,False,OK,Candidate sum mismatch: sum=544 ≠ valid_votes=547,"candidate_sum_fail (sum=544, valid_votes=547)",1,,B,M1,,0.04538341158059468,0.09859154929577464
0462ff708fc1f7d70cc4c1ccde70eead,ช.2.pdf,2026-05-09T12:49:17.468743,4,advance_out_of_district,partylist,,,,,,,641.0,641.0,5.0,22.0,False,False,Ballot math mismatch: 641+5+22=668 ≠ 641,Candidate sum mismatch: sum=614 ≠ valid_votes=641,"ballot_math_fail (total=641, valid+void+spoiled=668) | candidate_sum_fail (sum=614, valid_votes=641)",2,,C,M1,,0.0078003120124804995,0.0343213728549142
04ff4e1cf1b94d7329ac4efa5fcdafca,สส.5ทับ18.pdf,2026-05-06T11:18:34.988880,2,normal,district,อำเภอเฉลิมพระเกียรติ,ตำบลท่าช้าง,1.0,1.0,395.0,287.0,287.0,273.0,6.0,8.0,True,True,OK,OK,,0,,A,M0,0.7265822784810126,0.020905923344947737,0.027874564459930314
05e2804c8fc83f7ec0d5ac1cd9aa42e3,น.9 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,2026-05-06T10:29:46.326250,1,normal,district,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,9.0,9.0,198.0,124.0,124.0,120.0,3.0,1.0,True,False,OK,Candidate sum mismatch: sum=85 ≠ valid_votes=120,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=85, valid_votes=120)",2,,B,M0,0.6262626262626263,0.024193548387096774,0.008064516129032258
